COUNTRY_KEY,COUNTRY_NAME,COUNTRY_ISO_CODE_2,COUNTRY_ISO_CODE_3,COUNTRY_ISO_CODE_NUMERIC
1,"","","",
2,"","AE","",
3,"","AM","",
4,"","AO","",
5,"","AR","",
6,"","AT","",
7,"","AU","",
8,"","AW","",
9,"","AZ","",
10,"","BB","",
11,"","BE","",
12,"","BG","",
13,"","BH","",
14,"","BM","",
15,"","BO","",
16,"","BR","",
17,"","BS","",
18,"","BY","",
19,"","BZ","",
20,"","CA","",
21,"","CH","",
22,"","CI","",
23,"","CL","",
24,"","CM","",
25,"","CN","",
26,"","CO","",
27,"","CR","",
28,"","CW","",
29,"","CY","",
30,"","CZ","",
31,"","DE","",
32,"","DK","",
33,"","DO","",
34,"","EC","",
35,"","EG","",
36,"","ES","",
37,"","ET","",
38,"","FI","",
39,"","FK","",
40,"","FR","",
41,"","GA","",
42,"","GB","",
43,"","GE","",
44,"","GG","",
45,"","GH","",
46,"","GI","",
47,"","GR","",
48,"","GT","",
49,"","HK","",
50,"","HN","",
51,"","HR","",
52,"","HU","",
53,"","ID","",
54,"","IE","",
55,"","IL","",
56,"","IM","",
57,"","IN","",
58,"","IQ","",
59,"","IS","",
60,"","IT","",
61,"","JE","",
62,"","JM","",
63,"","JO","",
64,"","JP","",
65,"","KE","",
66,"","KR","",
67,"","KW","",
68,"","KY","",
69,"","KZ","",
70,"","LB","",
71,"","LI","",
72,"","LK","",
73,"","LR","",
74,"","LT","",
75,"","LU","",
76,"","LV","",
77,"","MA","",
78,"","MH","",
79,"","MN","",
80,"","MO","",
81,"","MT","",
82,"","MU","",
83,"","MX","",
84,"","MY","",
85,"","MZ","",
86,"","NA","",
87,"","NG","",
88,"","NL","",
89,"","NO","",
90,"","NZ","",
91,"","OM","",
92,"","PA","",
93,"","PE","",
94,"","PG","",
95,"","PH","",
96,"","PK","",
97,"","PL","",
98,"","PR","",
99,"","PT","",
100,"","PY","",
101,"","QA","",
102,"","RO","",
103,"","RS","",
104,"","RU","",
105,"","SA","",
106,"","SE","",
107,"","SG","",
108,"","SK","",
109,"","SN","",
110,"","SR","",
111,"","SV","",
112,"","TG","",
113,"","TH","",
114,"","TJ","",
115,"","TN","",
116,"","TR","",
117,"","TT","",
118,"","TW","",
119,"","TZ","",
120,"","UA","",
121,"","US","",
122,"","UY","",
123,"","UZ","",
124,"","VE","",
125,"","VG","",
126,"","VI","",
127,"","VN","",
128,"","XU","",
129,"","ZA","",
130,"","ZM","",